sid,uniprot_id,uniprot.full.name,flag1,flag2,flag3,entrezgenesymbol
SeqId_14029_42,P61201,COP9 signalosome complex subunit 2,0,0,1,COPS2
SeqId_14034_22,P09758,Tumor-associated calcium signal transducer 2,0,0,0,TACSTD2
SeqId_14035_13,Q13009,T-lymphoma invasion and metastasis-inducing protein 1,0,0,0,TIAM1
SeqId_14036_116,O75970,Multiple PDZ domain protein,0,0,0,MPDZ
SeqId_14037_18,Q9H6Z4,Ran-binding protein 3,0,0,1,RANBP3
SeqId_14039_33,Q9Y337,Kallikrein-5,0,0,0,KLK5
SeqId_14043_12,Q15075,Early endosome antigen 1,0,0,1,EEA1
SeqId_14045_12,Q15596,Nuclear receptor coactivator 2,0,0,0,NCOA2
SeqId_14047_78,P23560,Brain-derived neurotrophic factor,0,0,1,BDNF
SeqId_14048_7,Q9NPH3,Interleukin-1 receptor accessory protein,0,0,0,IL1RAP
SeqId_14051_54,Q99958,Forkhead box protein C2,0,0,0,FOXC2
SeqId_14052_26,Q9UPW8,Protein unc-13 homolog A,0,0,0,UNC13A
SeqId_14054_17,Q13261,Interleukin-15 receptor subunit alpha,0,0,0,IL15RA
SeqId_14056_4,P01215,Glycoprotein hormones alpha chain,0,0,0,CGA
SeqId_14060_67,Q15080,Neutrophil cytosol factor 4,0,1,1,NCF4
SeqId_14061_48,O14788,Tumor necrosis factor ligand superfamily member 11,0,0,0,TNFSF11
SeqId_14063_17,P13725,Oncostatin-M,0,0,0,OSM
SeqId_14065_11,P06127,T-cell surface glycoprotein CD5,0,0,0,CD5
SeqId_14066_49,Q86UL8,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2",0,0,0,MAGI2
SeqId_14067_6,Q99959,Plakophilin-2,0,0,1,PKP2
SeqId_14069_61,P22748,Carbonic anhydrase 4,0,0,0,CA4
SeqId_14070_56,Q15811,Intersectin-1,0,0,0,ITSN1
SeqId_14074_2,P98077,SHC-transforming protein 2,0,0,0,SHC2
SeqId_14076_74,P01036,Cystatin-S,0,0,0,CST4
SeqId_14079_14,Q13478,Interleukin-18 receptor 1,0,0,0,IL18R1
SeqId_14082_56,Q9Y4G6,Talin-2,0,0,1,TLN2
SeqId_14083_25,P49903,"Selenide, water dikinase 1",0,0,1,SEPHS1
SeqId_14084_191,,,1,1,1,
SeqId_14088_38,P24592,Insulin-like growth factor-binding protein 6,0,0,1,IGFBP6
SeqId_14090_23,Q9H4E7,Differentially expressed in FDCP 6 homolog,0,0,1,DEF6
SeqId_14091_42,O75828,Carbonyl reductase [NADPH] 3,0,0,0,CBR3
SeqId_14093_10,P49771,Fms-related tyrosine kinase 3 ligand,0,0,0,FLT3LG
SeqId_14094_29,Q99075,Proheparin-binding EGF-like growth factor,0,0,1,HBEGF
SeqId_14095_1,P26718,NKG2-D type II integral membrane protein,0,0,0,KLRK1
SeqId_14098_28,P49589,"Cysteine--tRNA ligase, cytoplasmic",0,0,1,CARS
SeqId_14099_20,P25789,Proteasome subunit alpha type-4,0,0,0,PSMA4
SeqId_14100_63,P02747,Complement C1q subcomponent subunit C,0,0,0,C1QC
SeqId_14101_2,P26992,Ciliary neurotrophic factor receptor subunit alpha,0,0,0,CNTFR
SeqId_14106_46,P52306,Rap1 GTPase-GDP dissociation stimulator 1,0,0,0,RAP1GDS1
SeqId_14107_1,P49914,5-formyltetrahydrofolate cyclo-ligase,0,0,1,MTHFS
SeqId_14111_15,P35442,Thrombospondin-2,0,0,0,THBS2
SeqId_14112_40,Q969Z4,Tumor necrosis factor receptor superfamily member 19L,0,0,1,RELT
SeqId_14114_18,Q8IYJ0,PILR alpha-associated neural protein,0,0,0,PIANP
SeqId_14115_34,P35318,ADM,0,0,1,ADM
SeqId_14116_129,P26447,Protein S100-A4,0,0,1,S100A4
SeqId_14120_2,Q68DV7,E3 ubiquitin-protein ligase RNF43,0,0,0,RNF43
SeqId_14121_24,Q9UBN6,Tumor necrosis factor receptor superfamily member 10D,0,0,1,TNFRSF10D
SeqId_14122_132,Q9ULT6,E3 ubiquitin-protein ligase ZNRF3,0,0,0,ZNRF3
SeqId_14123_34,Q9H7M9,V-type immunoglobulin domain-containing suppressor of T-cell activation,0,0,1,C10orf54
SeqId_14124_6,O43921,Ephrin-A2,5,0,1,EFNA2
SeqId_14127_240,P01574,Interferon beta,0,0,0,IFNB1
SeqId_14128_121,P01566,Interferon alpha-10,6,0,1,IFNA10
SeqId_14129_1,P01567,Interferon alpha-7,6,0,1,IFNA7
SeqId_14131_37,P52799,Ephrin-B2,6,0,1,EFNB2
SeqId_14132_21,Q9UM44,HERV-H LTR-associating protein 2,0,0,0,HHLA2
SeqId_14133_93,P27930,Interleukin-1 receptor type 2,0,0,0,IL1R2
SeqId_14134_49,Q86SJ2,Amphoterin-induced protein 2,0,0,1,AMIGO2
SeqId_14135_3,Q9HBX9,Relaxin receptor 1,0,0,1,RXFP1
SeqId_14136_234,Q9NPY3,Complement component C1q receptor,0,0,0,CD93
SeqId_14139_16,Q8WWG1,"Pro-neuregulin-4, membrane-bound isoform",0,0,0,NRG4
SeqId_14143_8,Q16778,Histone H2B type 2-E,5,0,1,HIST2H2BE
SeqId_14144_3,Q7L7L0,Histone H2A type 3,5,0,1,HIST3H2A
SeqId_14146_92,P68431,Histone H3.1,0,0,1,HIST1H3A
SeqId_14149_9,Q9NZH7,Interleukin-36 beta,0,0,0,IL36B
SeqId_14150_7,Q9UHA7,Interleukin-36 alpha,0,0,1,IL36A
SeqId_14151_4,P05161,Ubiquitin-like protein ISG15,0,0,0,ISG15
SeqId_14153_8,P52797,Ephrin-A3,6,0,1,EFNA3
SeqId_14156_33,P31946,14-3-3 protein beta/alpha,6,0,1,YWHAB
SeqId_14157_21,P62258,14-3-3 protein epsilon,0,0,1,YWHAE
SeqId_14158_17,P08758,Annexin A5,0,0,0,ANXA5
SeqId_14175_78,Q9UJQ7,SCP2 sterol-binding domain-containing protein 1,0,0,0,SCP2D1
SeqId_14178_18,Q16667,Cyclin-dependent kinase inhibitor 3,0,0,0,CDKN3
SeqId_14186_13,Q8WZ73,E3 ubiquitin-protein ligase rififylin,0,0,0,RFFL
SeqId_14192_31,Q8N4E4,Phosducin-like protein 2,0,0,0,PDCL2
SeqId_14197_2,O75626,PR domain zinc finger protein 1,0,0,1,PRDM1
SeqId_14203_3,P20073,Annexin A7,6,0,1,ANXA7
SeqId_14204_55,Q9P0K8,Forkhead box protein J2,0,0,0,FOXJ2
SeqId_14205_6,Q96MH2,Protein HEXIM2,0,0,1,HEXIM2
SeqId_14206_28,O00213,Amyloid-beta A4 precursor protein-binding family B member 1,0,0,0,APBB1
SeqId_14208_3,Q96R05,Retinoid-binding protein 7,0,0,1,RBP7
SeqId_14216_35,Q7L014,Probable ATP-dependent RNA helicase DDX46,0,0,1,DDX46
SeqId_14226_120,Q9H2M3,S-methylmethionine--homocysteine S-methyltransferase BHMT2,0,0,1,BHMT2
SeqId_14227_21,P14649,Myosin light chain 6B,0,0,0,MYL6B
SeqId_14228_1,,,1,1,1,
SeqId_14229_5,O95396,Adenylyltransferase and sulfurtransferase MOCS3,0,0,1,MOCS3
SeqId_14237_1,,,2,1,1,HSPA1A
SeqId_14245_195,Q9UNH6,Sorting nexin-7,0,0,1,SNX7
SeqId_14246_50,O60496,Docking protein 2,0,0,1,DOK2
SeqId_14249_68,Q9UJV3,Probable E3 ubiquitin-protein ligase MID2,0,1,1,MID2
SeqId_14250_115,Q13867,Bleomycin hydrolase,0,0,0,BLMH
SeqId_14254_27,P29074,Tyrosine-protein phosphatase non-receptor type 4,0,0,1,PTPN4
SeqId_14256_4,,,1,1,1,
SeqId_14260_112,Q7Z628,Neuroepithelial cell-transforming gene 1 protein,0,0,1,NET1
SeqId_14268_4,Q9BYN0,Sulfiredoxin-1,0,0,1,SRXN1
SeqId_14271_23,Q9NRW1,Ras-related protein Rab-6B,0,0,1,RAB6B
SeqId_14273_19,P48147,Prolyl endopeptidase,0,0,1,PREP
SeqId_14283_12,P61106,Ras-related protein Rab-14,0,0,0,RAB14
SeqId_14284_23,Q9P2K8,eIF-2-alpha kinase GCN2,0,1,1,EIF2AK4
SeqId_14286_2,O95644,"Nuclear factor of activated T-cells, cytoplasmic 1",0,0,1,NFATC1
SeqId_14287_6,P51148,Ras-related protein Rab-5C,0,0,1,RAB5C
SeqId_14291_53,Q99490,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2",0,0,0,AGAP2
SeqId_14294_61,Q9UIS9,Methyl-CpG-binding domain protein 1,0,0,0,MBD1
SeqId_14308_192,,,1,1,1,
SeqId_14309_8,P31943,Heterogeneous nuclear ribonucleoprotein H,0,0,0,HNRNPH1
SeqId_14314_6,Q13356,RING-type E3 ubiquitin-protein ligase PPIL2,0,0,1,PPIL2
SeqId_14318_1,Q9UBQ0,Vacuolar protein sorting-associated protein 29,7,0,1,VPS29
SeqId_14324_52,Q9UQE7,Structural maintenance of chromosomes protein 3,0,0,1,SMC3
SeqId_14326_4,P51965,Ubiquitin-conjugating enzyme E2 E1,0,0,1,UBE2E1
SeqId_14329_4,Q9BTC0,Death-inducer obliterator 1,0,0,0,DIDO1
SeqId_14331_262,P63172,Dynein light chain Tctex-type 1,0,0,1,DYNLT1
SeqId_14332_3,P11233,Ras-related protein Ral-A,0,0,1,RALA
SeqId_14334_3,P35243,Recoverin,0,0,0,RCVRN
SeqId_14337_1,O43617,Trafficking protein particle complex subunit 3,0,0,0,TRAPPC3
SeqId_14341_8,Q0P6D2,Divergent protein kinase domain 1C,7,0,1,FAM69C
SeqId_14583_49,O14793,Growth/differentiation factor 8,6,0,1,MSTN
SeqId_14587_16,O95390,Growth/differentiation factor 11,6,0,1,GDF11
SeqId_14593_152,Q96ND0,Protein FAM210A,0,0,1,FAM210A
SeqId_14597_5,Q9H3T2,Semaphorin-6C,0,0,0,SEMA6C
SeqId_14599_18,Q9NY15,Stabilin-1,0,0,1,STAB1
SeqId_14603_51,Q15053,Uncharacterized protein KIAA0040,0,0,0,KIAA0040
SeqId_14605_2,,,1,1,1,
SeqId_14614_41,Q5T1S8,Noncompact myelin-associated protein,0,0,0,NCMAP
SeqId_14615_46,Q9BYR9,Keratin-associated protein 2-4,0,0,0,KRTAP2-4
SeqId_14616_16,Q96SR6,Zinc finger protein 382,0,0,0,ZNF382
SeqId_14617_7,,,1,1,1,
SeqId_14618_26,Q96AW1,"Vesicular, overexpressed in cancer, prosurvival protein 1",0,0,0,VOPP1
SeqId_14619_8,Q8TF50,Zinc finger protein 526,0,0,0,ZNF526
SeqId_14623_26,P55854,Small ubiquitin-related modifier 3,5,0,1,SUMO3
SeqId_14624_51,P49711,Transcriptional repressor CTCF,0,0,0,CTCF
SeqId_14628_72,Q9UK99,F-box only protein 3,0,0,1,FBXO3
SeqId_14631_22,Q9BY84,Dual specificity protein phosphatase 16,0,0,0,DUSP16
SeqId_14633_26,Q8NFB2,Transmembrane protein 185A,0,0,1,TMEM185A
SeqId_14634_13,P22888,Lutropin-choriogonadotropic hormone receptor,0,0,0,LHCGR
SeqId_14635_28,,,1,1,1,
SeqId_14636_25,P52758,2-iminobutanoate/2-iminopropanoate deaminase,0,0,0,HRSP12
SeqId_14645_253,O15217,Glutathione S-transferase A4,0,0,1,GSTA4
SeqId_14655_1,Q9NVM6,DnaJ homolog subfamily C member 17,0,0,0,DNAJC17
SeqId_14662_6,P28698,Myeloid zinc finger 1,0,0,1,MZF1
SeqId_14663_44,O76064,E3 ubiquitin-protein ligase RNF8,0,0,1,RNF8
SeqId_14670_1,P12757,Ski-like protein,0,0,1,SKIL
SeqId_14674_63,Q9UKS6,Protein kinase C and casein kinase substrate in neurons protein 3,0,0,0,PACSIN3
SeqId_14675_20,P23588,Eukaryotic translation initiation factor 4B,0,0,1,EIF4B
SeqId_14684_17,P17655,Calpain-2 catalytic subunit,0,0,1,CAPN2
SeqId_14685_17,P31751,RAC-beta serine/threonine-protein kinase,5,0,1,AKT2
SeqId_14687_6,O60664,Perilipin-3,0,0,0,PLIN3
SeqId_14688_6,P35236,Tyrosine-protein phosphatase non-receptor type 7,0,0,0,PTPN7
SeqId_14689_3,P55735,Protein SEC13 homolog,0,0,1,SEC13
SeqId_14692_3,Q8N554,Zinc finger protein 276,0,0,1,ZNF276
SeqId_14705_1,O43915,Vascular endothelial growth factor D,0,0,0,FIGF
SeqId_14708_59,P07360,Complement component C8 gamma chain,7,0,1,C8G
SeqId_14711_27,Q15828,Cystatin-M,0,0,1,CST6
SeqId_14713_46,P20160,Azurocidin,0,0,0,AZU1
SeqId_14747_9,O75462,Cytokine receptor-like factor 1,0,0,0,CRLF1
SeqId_14748_31,Q13017,Rho GTPase-activating protein 5,0,0,1,ARHGAP5
SeqId_15295_81,P01344,Insulin-like growth factor II,0,1,1,IGF2
SeqId_15297_3,P33764,Protein S100-A3,0,0,1,S100A3
SeqId_15298_199,Q8TDF5,Neuropilin and tolloid-like protein 1,0,0,0,NETO1
SeqId_15299_102,Q14696,LRP chaperone MESD,0,0,1,MESDC2
SeqId_15300_66,Q9H6E4,Coiled-coil domain-containing protein 134,0,0,1,CCDC134
SeqId_15301_24,P26436,Acrosomal protein SP-10,0,0,0,ACRV1
SeqId_15303_63,P33763,Protein S100-A5,0,0,1,S100A5
SeqId_15304_1,Q06141,Regenerating islet-derived protein 3-alpha,0,0,0,REG3A
SeqId_15305_7,O76038,Secretagogin,0,0,0,SCGN
SeqId_15306_20,P01591,Immunoglobulin J chain,0,0,0,IGJ
SeqId_15308_108,Q2TAL6,Brorin,0,0,1,VWC2
SeqId_15310_61,O43663,Protein regulator of cytokinesis 1,0,0,0,PRC1
SeqId_15312_14,Q9UL18,Protein argonaute-1,5,0,1,AGO1
SeqId_15313_28,Q13257,Mitotic spindle assembly checkpoint protein MAD2A,0,0,0,MAD2L1
SeqId_15314_49,Q9Y696,Chloride intracellular channel protein 4,6,0,1,CLIC4
SeqId_15315_64,Q9NTM9,Copper homeostasis protein cutC homolog,0,0,0,CUTC
SeqId_15316_262,Q9NX01,Thioredoxin-like protein 4B,0,0,1,TXNL4B
SeqId_15318_75,P60903,Protein S100-A10,0,0,1,S100A10
SeqId_15319_226,P78396,Cyclin-A1,0,0,0,CCNA1
SeqId_15321_8,Q6PUV4,Complexin-2,6,0,1,CPLX2
SeqId_15322_35,P78560,Death domain-containing protein CRADD,0,0,1,CRADD
SeqId_15323_112,Q9H9G7,Protein argonaute-3,6,0,1,AGO3
SeqId_15324_58,P02792,Ferritin light chain,0,0,0,FTL
SeqId_15325_14,P17677,Neuromodulin,0,0,1,GAP43
SeqId_15326_64,P32455,Guanylate-binding protein 1,6,0,1,GBP1
SeqId_15329_167,Q9Y2Q5,Ragulator complex protein LAMTOR2,0,0,1,ROBLD3
SeqId_15331_47,Q09028,Histone-binding protein RBBP4,0,0,1,RBBP4
SeqId_15333_11,Q99470,Stromal cell-derived factor 2,0,0,0,SDF2
SeqId_15336_7,Q8WWX9,Selenoprotein M,0,0,0,SELM
SeqId_15339_32,Q9Y281,Cofilin-2,0,1,1,CFL2
SeqId_15343_337,P01042,Kininogen-1,0,0,1,KNG1
SeqId_15346_31,P01579,Interferon gamma,0,0,1,IFNG
SeqId_15347_12,P02790,Hemopexin,0,0,1,HPX
SeqId_15358_28,P05408,Neuroendocrine protein 7B2,0,0,1,SCG5
SeqId_15361_37,Q15327,Ankyrin repeat domain-containing protein 1,0,0,0,ANKRD1
SeqId_15363_32,Q6Q788,Apolipoprotein A-V,0,0,0,APOA5
SeqId_15364_101,P02654,Apolipoprotein C-I,0,0,1,APOC1
SeqId_15365_41,O60242,Adhesion G protein-coupled receptor B3,0,0,0,BAI3
SeqId_15367_38,Q8TDL5,BPI fold-containing family B member 1,6,0,1,BPIFB1
SeqId_15368_3,Q8N8U9,BMP-binding endothelial regulator protein,0,0,0,BMPER
SeqId_15370_5,Q9Y3E2,BolA-like protein 1,0,0,0,BOLA1
SeqId_15372_43,P25440,Bromodomain-containing protein 2,0,0,0,BRD2
SeqId_15374_15,Q9NS71,Gastrokine-1,0,0,0,GKN1
SeqId_15375_49,P15086,Carboxypeptidase B,0,0,0,CPB1
SeqId_15376_134,P14091,Cathepsin E,0,0,0,CTSE
SeqId_15381_45,Q16832,Discoidin domain-containing receptor 2,0,0,0,DDR2
SeqId_15383_200,P14138,Endothelin-3,0,0,0,EDN3
SeqId_15384_15,Q9UEF7,Klotho,0,0,0,KL
SeqId_15385_116,P12104,"Fatty acid-binding protein, intestinal",0,0,0,FABP2
SeqId_15386_7,P15090,"Fatty acid-binding protein, adipocyte",6,0,1,FABP4
SeqId_15387_44,O60462,Neuropilin-2,0,0,1,NRP2
SeqId_15388_24,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,0,0,1,FCGR3A
SeqId_15389_1,Q16595,"Frataxin, mitochondrial",0,0,0,FXN
SeqId_15390_3,P22466,Galanin peptides,0,0,1,GAL
SeqId_15391_114,Q14393,Growth arrest-specific protein 6,0,0,0,GAS6
SeqId_15394_79,Q8IZJ1,Netrin receptor UNC5B,6,0,1,UNC5B
SeqId_15395_15,P09488,Glutathione S-transferase Mu 1,0,0,0,GSTM1
SeqId_15398_2,P55789,FAD-linked sulfhydryl oxidase ALR,0,0,0,GFER
SeqId_15402_2,P41134,DNA-binding protein inhibitor ID-1,0,0,0,ID1
SeqId_15403_53,Q02363,DNA-binding protein inhibitor ID-2,0,0,0,ID2
SeqId_15404_3,P01568,Interferon alpha-21,0,0,1,IFNA21
SeqId_15405_23,P05014,Interferon alpha-4,6,0,1,IFNA4
SeqId_15412_40,Q96CA5,Baculoviral IAP repeat-containing protein 7,5,0,1,BIRC7
SeqId_15413_3,P04180,Phosphatidylcholine-sterol acyltransferase,0,0,0,LCAT
SeqId_15414_316,P00338,L-lactate dehydrogenase A chain,0,0,1,LDHA
SeqId_15416_54,Q86SG7,Lysozyme g-like protein 2,0,0,0,LYG2
SeqId_15417_3,P36952,Serpin B5,0,0,0,SERPINB5
SeqId_15418_25,P53779,Mitogen-activated protein kinase 10,6,0,1,MAPK10
SeqId_15419_15,O60882,Matrix metalloproteinase-20,0,0,0,MMP20
SeqId_15422_12,P02689,Myelin P2 protein,0,0,0,PMP2
SeqId_15426_5,Q99519,Sialidase-1,0,0,0,NEU1
SeqId_15427_35,P58215,Lysyl oxidase homolog 3,0,0,1,LOXL3
SeqId_15430_165,Q9UBM4,Opticin,0,0,1,OPTC
SeqId_15431_31,P00480,"Ornithine carbamoyltransferase, mitochondrial",0,0,0,OTC
SeqId_15432_1,Q9NRC9,Otoraplin,5,0,1,OTOR
SeqId_15433_4,P12931,Proto-oncogene tyrosine-protein kinase Src,0,0,1,SRC
SeqId_15434_5,Q13519,Prepronociceptin,0,0,0,PNOC
SeqId_15435_4,P00491,Purine nucleoside phosphorylase,0,0,1,PNP
SeqId_15436_40,O60894,Receptor activity-modifying protein 1,0,0,0,RAMP1
SeqId_15437_11,O60896,Receptor activity-modifying protein 3,0,0,0,RAMP3
SeqId_15439_21,P61587,Rho-related GTP-binding protein RhoE,0,0,0,RND3
SeqId_15440_57,P16519,Neuroendocrine convertase 2,0,0,0,PCSK2
SeqId_15441_6,P17900,Ganglioside GM2 activator,0,0,0,GM2A
SeqId_15444_45,P48594,Serpin B4,5,0,1,SERPINB4
SeqId_15446_25,Q02297,"Pro-neuregulin-1, membrane-bound isoform",0,0,1,NRG1
SeqId_15447_45,Q00796,Sorbitol dehydrogenase,0,0,0,SORD
SeqId_15448_47,Q13501,Sequestosome-1,0,0,0,SQSTM1
SeqId_15449_33,Q96H15,T-cell immunoglobulin and mucin domain-containing protein 4,0,0,0,TIMD4
SeqId_15452_5,P21589,5'-nucleotidase,0,0,1,NT5E
SeqId_15453_3,P02760,Protein AMBP,0,0,1,AMBP
SeqId_15455_40,Q13444,Disintegrin and metalloproteinase domain-containing protein 15,0,0,0,ADAM15
SeqId_15457_14,P15144,Aminopeptidase N,0,0,0,ANPEP
SeqId_15460_9,P27487,Dipeptidyl peptidase 4,0,0,1,DPP4
SeqId_15462_28,P01732,T-cell surface glycoprotein CD8 alpha chain,0,0,0,CD8A
SeqId_15465_79,Q8N129,Protein canopy homolog 4,7,0,1,CNPY4
SeqId_15466_30,P20849,Collagen alpha-1(IX) chain,0,0,0,COL9A1
SeqId_15467_10,Q96CG8,Collagen triple helix repeat-containing protein 1,0,0,0,CTHRC1
SeqId_15468_14,Q03591,Complement factor H-related protein 1,5,0,1,CFHR1
SeqId_15470_11,P07686,Beta-hexosaminidase subunit beta,0,0,0,HEXB
SeqId_15471_29,P54317,Pancreatic lipase-related protein 2,0,0,0,PNLIPRP2
SeqId_15472_16,Q86VZ4,Low-density lipoprotein receptor-related protein 11,0,0,0,LRP11
SeqId_15474_7,Q13526,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,6,0,1,PIN1
SeqId_15475_4,P55058,Phospholipid transfer protein,0,0,0,PLTP
SeqId_15476_6,Q6UW15,Regenerating islet-derived protein 3-gamma,0,0,0,REG3G
SeqId_15480_2,O95498,Vascular non-inflammatory molecule 2,0,0,0,VNN2
SeqId_15481_45,P49913,Cathelicidin antimicrobial peptide,0,0,1,CAMP
SeqId_15482_12,A8K2U0,Alpha-2-macroglobulin-like protein 1,0,0,0,A2ML1
SeqId_15483_377,O00468,Agrin,7,0,1,AGRN
SeqId_15486_126,P19801,Amiloride-sensitive amine oxidase [copper-containing],0,0,0,AOC1
SeqId_15487_164,P23141,Liver carboxylesterase 1,0,0,0,CES1
SeqId_15491_20,Q9HCU0,Endosialin,0,0,0,CD248
SeqId_15492_1,Q9NZV1,Cysteine-rich motor neuron 1 protein,0,0,0,CRIM1
SeqId_15494_11,Q14512,Fibroblast growth factor-binding protein 1,0,0,0,FGFBP1
SeqId_15495_9,P41439,Folate receptor gamma,0,0,0,FOLR3
SeqId_15497_9,O14792,Heparan sulfate glucosamine 3-O-sulfotransferase 1,0,0,0,HS3ST1
SeqId_15499_11,O75882,Attractin,0,0,1,ATRN
SeqId_15503_15,O00292,Left-right determination factor 2,0,0,1,LEFTY2
SeqId_15503_20,O00292,Left-right determination factor 2,0,0,0,LEFTY2
SeqId_15504_39,Q96CA5,Baculoviral IAP repeat-containing protein 7,5,0,1,BIRC7
SeqId_15506_34,Q9Y561,Low-density lipoprotein receptor-related protein 12,0,0,0,LRP12
SeqId_15509_2,P54802,Alpha-N-acetylglucosaminidase,0,0,0,NAGLU
SeqId_15511_37,O95502,Neuronal pentraxin receptor,0,0,0,NPTXR
SeqId_15513_108,Q16651,Prostasin,0,0,0,PRSS8
SeqId_15514_26,P06276,Cholinesterase,0,0,0,BCHE
SeqId_15515_2,P0DJI8,Serum amyloid A-1 protein,5,0,1,SAA1
SeqId_15516_12,P35542,Serum amyloid A-4 protein,0,0,0,SAA4
SeqId_15521_4,O94985,Calsyntenin-1,0,0,0,CLSTN1
SeqId_15522_2,Q9H4G4,Golgi-associated plant pathogenesis-related protein 1,0,0,1,GLIPR2
SeqId_15523_9,P13716,Delta-aminolevulinic acid dehydratase,0,0,1,ALAD
SeqId_15524_30,P15259,Phosphoglycerate mutase 2,5,0,1,PGAM2
SeqId_15525_294,P00326,Alcohol dehydrogenase 1C,5,0,1,ADH1C
SeqId_15526_33,P48637,Glutathione synthetase,0,0,0,GSS
SeqId_15527_90,P09622,"Dihydrolipoyl dehydrogenase, mitochondrial",0,0,0,DLD
SeqId_15529_33,P21291,Cysteine and glycine-rich protein 1,0,0,1,CSRP1
SeqId_15530_33,P54760,Ephrin type-B receptor 4,0,0,0,EPHB4
SeqId_15533_97,P21757,Macrophage scavenger receptor types I and II,0,0,0,MSR1
SeqId_15534_26,P40926,"Malate dehydrogenase, mitochondrial",0,0,1,MDH2
SeqId_15535_3,Q9BQR3,Serine protease 27,0,0,0,PRSS27
SeqId_15539_15,Q96PX8,SLIT and NTRK-like protein 1,0,0,0,SLITRK1
SeqId_15540_6,P08670,Vimentin,0,0,0,VIM
SeqId_15542_19,P12532,"Creatine kinase U-type, mitochondrial",0,0,0,CKMT1A
SeqId_15544_25,Q9P0G3,Kallikrein-14,0,0,0,KLK14
SeqId_15545_13,P63098,Calcineurin subunit B type 1,0,0,1,PPP3R1
SeqId_15548_35,O43175,D-3-phosphoglycerate dehydrogenase,7,0,1,PHGDH
SeqId_15553_22,P22303,Acetylcholinesterase,0,0,0,ACHE
SeqId_15556_49,P19961,Alpha-amylase 2B,6,0,1,AMY2B
SeqId_15558_63,Q07075,Glutamyl aminopeptidase,0,0,1,ENPEP
SeqId_15559_5,P58335,Anthrax toxin receptor 2,0,0,0,ANTXR2
SeqId_15560_52,P20062,Transcobalamin-2,0,0,1,TCN2
SeqId_15562_24,P08236,Beta-glucuronidase,0,0,0,GUSB
SeqId_15565_102,Q8WXI7,Mucin-16,0,0,0,MUC16
SeqId_15566_10,P51911,Calponin-1,0,0,1,CNN1
SeqId_15567_2,P20963,T-cell surface glycoprotein CD3 zeta chain,0,0,0,CD247
SeqId_15569_15,P02458,Collagen alpha-1(II) chain,0,0,0,COL2A1
SeqId_15570_99,P20023,Complement receptor type 2,0,0,0,CR2
SeqId_15573_110,O14594,Neurocan core protein,0,0,0,NCAN
SeqId_15574_37,P20248,Cyclin-A2,0,0,0,CCNA2
SeqId_15576_158,P12724,Eosinophil cationic protein,0,0,0,RNASE3
SeqId_15579_26,Q6UWR7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 6,0,0,0,ENPP6
SeqId_15580_2,Q15375,Ephrin type-A receptor 7,0,0,0,EPHA7
SeqId_15581_16,Q8TC84,Fibronectin type 3 and ankyrin repeat domains protein 1,0,0,0,FANK1
SeqId_15582_25,O00602,Ficolin-1,6,0,1,FCN1
SeqId_15583_18,Q6BAA4,Fc receptor-like B,0,0,0,FCRLB
SeqId_15584_9,P36980,Complement factor H-related protein 2,0,0,0,CFHR2
SeqId_15585_304,Q9UBX5,Fibulin-5,0,0,1,FBLN5
SeqId_15587_20,P14207,Folate receptor beta,0,0,0,FOLR2
SeqId_15588_17,P06280,Alpha-galactosidase A,0,0,0,GLA
SeqId_15589_1,P02774,Vitamin D-binding protein,0,0,1,GC
SeqId_15591_28,P07203,Glutathione peroxidase 1,0,0,1,GPX1
SeqId_15594_47,Q92743,Serine protease HTRA1,0,0,0,HTRA1
SeqId_15596_7,O94992,Protein HEXIM1,5,0,1,HEXIM1
SeqId_15602_43,P08887,Interleukin-6 receptor subunit alpha,0,0,0,IL6R
SeqId_15603_20,P17301,Integrin alpha-2,0,0,0,ITGA2
SeqId_15604_18,P45984,Mitogen-activated protein kinase 9,5,0,1,MAPK9
SeqId_15606_19,P08727,"Keratin, type I cytoskeletal 19",6,0,1,KRT19
SeqId_15607_56,P30613,Pyruvate kinase PKLR,6,0,1,PKLR
SeqId_15608_5,P23443,Ribosomal protein S6 kinase beta-1,0,0,0,RPS6KB1
SeqId_15610_72,P28838,Cytosol aminopeptidase,0,0,1,LAP3
SeqId_15612_5,Q9HAP6,Protein lin-7 homolog B,5,0,1,LIN7B
SeqId_15613_16,P16233,Pancreatic triacylglycerol lipase,6,0,1,PNLIP
SeqId_15614_168,Q8N149,Leukocyte immunoglobulin-like receptor subfamily A member 2,0,0,0,LILRA2
SeqId_15615_8,O75022,Leukocyte immunoglobulin-like receptor subfamily B member 3,0,0,0,LILRB3
SeqId_15617_8,Q9UBD3,Cytokine SCM-1 beta,6,0,1,XCL2
SeqId_15619_49,Q16653,Myelin-oligodendrocyte glycoprotein,0,0,1,MOG
SeqId_15620_4,Q8N2Q7,Neuroligin-1,5,0,1,NLGN1
SeqId_15622_13,Q14982,Opioid-binding protein/cell adhesion molecule,5,0,1,OPCML
SeqId_15623_1,Q15116,Programmed cell death protein 1,0,0,0,PDCD1
